ONE,TWO,THREE,FOUR
31,73,84,25
40,33,60,48
54,12,64,33
73,34,37,41
74,72,20,98
80,50,75,44
21,27,92,57
36,99,82,1
72,39,95,41
33,11,10,4
13,84,19,76
66,26,40,37
35,84,30,74
57,3,80,9
14,78,78,56
78,64,90,15
98,1,21,74
91,31,63,89
17,0,71,98
63,27,81,61
12,5,55,33
71,62,90,56
83,52,21,16
97,1,96,51
75,69,16,33
15,81,57,27
19,11,49,29
0,51,78,33
88,69,82,66
8,12,92,83
44,71,77,74
27,83,40,69
50,6,95,71
32,61,46,68
92,36,24,34
20,28,50,1
9,18,1,82
68,62,72,35
79,50,16,9
91,95,54,38
1,54,51,66
36,58,53,75
16,95,35,24
41,72,59,33
13,59,98,46
41,4,81,8
68,74,59,65
94,43,29,66
40,18,50,70
15,25,7,9
35,85,73,15
27,67,34,89
81,10,74,17
13,2,32,96
58,31,78,31
84,40,19,4
47,84,48,33
7,52,74,25
3,86,49,58
45,80,95,67
67,11,80,10
25,70,80,72
43,61,91,87
49,76,77,94
84,31,38,5
79,10,46,25
69,90,42,37
32,6,42,34
3,41,52,66
16,19,24,77
71,57,91,81
10,53,82,99
41,12,17,52
82,54,11,68
19,39,41,42
29,26,96,65
95,82,8,21
41,99,82,88
94,5,57,1
13,66,46,20
1,98,0,67
13,42,95,3
15,79,87,86
93,22,61,27
82,99,43,79
15,70,18,18
73,19,93,67
25,22,11,97
27,61,73,66
74,27,93,22
46,77,28,15
46,54,92,4
76,84,86,38
42,62,50,41
60,10,82,97
44,90,95,16
71,96,57,96
44,81,30,90
45,58,35,29
75,23,57,4
